SMILES	Name	fsp3	hac	hba	hbd	mollogp	mw	narom	psa	qed	sascore
Cc1sc(Nc2ccc([N+](=O)[O-])cc2)nc1-c1ccc(C)cc1	ZINC67321987	0.118	23	5	1	5.079	325.088	3	68.06	0.515	1.987
CCn1cc(C(=O)N(C)Cc2ccccc2)c(S(=O)(=O)N2CCN(c3cc(C)ccc3C)CC2)n1	ZINC67337455	0.385	35	8	0	3.303	495.23	3	78.75	0.494	2.489
COC(=O)c1cc(C2CC(=O)Nc3cc4c(cc32)OCC(=O)N4)ccc1O	ZINC67472949	0.211	27	8	3	1.984	368.101	2	113.96	0.702	3.131
CC[NH+](CC)Cc1cnc2c(C(=O)N3CCNC(=O)C3C)cnn2c1	ZINC67514210	0.529	25	8	2	-0.885	345.204	2	84.04	0.772	4.126
C#Cc1cccc(NC(=O)NC2CCCN(S(C)(=O)=O)C2)c1	ZINC67562796	0.4	22	6	2	1.213	321.115	1	78.51	0.832	2.747
Cc1n[nH]c(C)c1C(NS(=O)(=O)N1CCCC1)C(=O)[O-]	ZINC67640948	0.636	20	8	2	-1.252	301.097	1	118.22	0.743	3.54
CC(C)CN1CC(C(=O)NC2CCC(n3cnnc3)CC2)CC1=O	ZINC67674610	0.765	24	7	1	1.382	333.216	1	80.12	0.892	3.178
N#Cc1ccnc(N2CCCC(c3[nH]ncc3-c3ccc(F)cc3)C2)c1	ZINC67756512	0.25	26	5	1	3.866	347.155	3	68.6	0.756	2.944
Cc1csc(N(C(=O)C2CC(=O)N(Cc3ccccc3)C2)c2ccccc2)n1	ZINC06606875	0.227	28	5	0	4.165	391.135	3	53.51	0.631	2.728
CNC(=O)C1CC([NH3+])CN1Cc1cnn(-c2cccc(Cl)c2)c1	ZINC67834297	0.375	23	6	4	0.457	334.143	2	77.8	0.87	3.699
Cc1[nH+]cc(CO)c(CN2CCCC(c3nc4ccccc4o3)C2)c1[O-]	ZINC67842136	0.4	26	6	2	1.896	353.174	3	86.7	0.779	3.936
CN1CC2CCC(CC1=O)N2C(=O)c1c[nH]c(=O)cn1	ZINC67868591	0.538	20	7	1	-0.395	276.122	1	86.37	0.784	4.292
Cc1nc(C[NH+](C)CC2(O)CCCN(CCCc3ccccc3)C2=O)no1	ZINC67895768	0.55	27	7	2	0.379	373.224	2	83.9	0.714	4.006
O=C(CCn1cncn1)NCC1CCC[NH+](C2CCCCC2)C1	ZINC67909110	0.824	23	6	2	0.412	320.245	1	64.25	0.815	4.335
O=C(CF)NC([NH+]1CCOCC1)C(Cl)(Cl)Cl	ZINC00284850	0.875	16	4	2	-0.317	293.003	0	42.77	0.726	5.092
CCNc1ccc(C(=O)NCCCN2CCCC2=O)cc1[N+](=O)[O-]	ZINC06570052	0.5	24	8	2	1.769	334.164	1	104.58	0.431	2.185
COc1cc(C(=O)N2CCCC(C(N)=O)C2)cc(OC)c1C	ZINC48088125	0.5	22	6	2	1.35	306.158	1	81.86	0.92	2.481
CN1C(=O)C2(Cc3ccccc3N3CCCCC32)C(=O)N(C)C1=S	ZINC06661860	0.5	24	5	0	1.803	343.135	1	43.86	0.536	3.612
COC(=O)c1ccccc1NC(=O)/C=C/c1ccc(Cl)cc1	ZINC00064042	0.059	22	4	1	3.779	315.066	2	55.4	0.669	1.759
COc1ccccc1N1C(=O)C2C(C1=O)C1(c3ccccc3)C=CC2C2C(=O)N(c3ccccc3OC)C(=O)C21	ZINC68582883	0.25	40	8	0	3.753	534.179	3	93.22	0.355	4.565
Cc1c(Br)cc(Br)cc1C(F)(F)F	ZINC02382400	0.25	13	0	0	4.539	315.871	1	0	0.63	2.41
COc1cc(C2SC(C)C(=O)Nc3[nH]nc(C)c32)cc(OC)c1O	ZINC06678583	0.375	24	7	3	2.604	349.11	2	96.47	0.786	3.854
O=C(CNc1ccc(F)c(Cl)c1)Nc1ccc(OC(F)F)cc1	ZINC07972626	0.133	23	4	2	4.131	344.054	2	50.36	0.796	1.918
CCOc1ccc(C(=O)NCC(=O)NCCOC)cc1	ZINC17321557	0.429	20	6	2	0.578	280.142	1	76.66	0.696	1.666
CCCN(CCC)C(=O)CNC(=O)Cc1cccc2ccccc21	ZINC68883969	0.4	24	4	1	3.147	326.199	2	49.41	0.799	1.995
CC(=O)c1ccc(S(=O)(=O)N2CCCCC2C(=O)NC2CCCc3ccccc32)cc1	ZINC24016999	0.417	31	6	1	3.626	440.177	2	83.55	0.701	2.908
Cc1ccccc1C(=O)NCC(=O)NCCNC(=O)C(C)C	ZINC68966127	0.438	22	6	3	0.613	305.174	1	87.3	0.657	1.857
COCC(C)NC(=O)CCNS(=O)(=O)c1ccccc1	ZINC36684132	0.462	20	6	2	0.506	300.114	1	84.5	0.747	2.314
CC(C)C(C)(C#N)NC(=O)CSc1nnc(NCc2ccccc2)s1	ZINC03490833	0.412	25	6	2	3.297	375.119	2	90.7	0.676	2.824
COC(=O)c1cc(NC(=O)c2nc3ncccn3n2)cc(C(=O)OC)c1	ZINC06720928	0.125	26	10	1	0.95	355.092	3	124.78	0.696	2.417
CC(O)CNc1[nH+]c2ccccc2n1CCCn1cncn1	ZINC48343076	0.4	22	7	3	0.93	301.178	3	82.04	0.69	3.955
CCc1c(-c2cccs2)nc2ccc(Br)cc2c1C(=O)[O-]	ZINC00685660	0.125	21	3	0	3.652	359.969	3	53.02	0.697	2.746
COC(=O)CCCCNC(=O)N1CCSCC1	ZINC69245205	0.818	17	5	1	1.088	260.119	0	58.64	0.601	2.226
CCCCS(=O)(=O)Nc1cc(Cl)ccc1Cl	ZINC06742088	0.4	16	3	1	3.535	281.004	1	46.17	0.876	1.94
CC(Oc1ccc(Br)cc1)C(=O)Nc1ccc2c(c1)NC(=O)CO2	ZINC69323649	0.176	24	6	2	3.186	390.022	2	76.66	0.827	2.533
O=C(COc1ccc(C(=O)NC2CCCC2)cc1)N1CCNC1=O	ZINC69367382	0.471	24	7	2	1.29	331.153	1	87.74	0.861	2.082
CC(Cn1cccn1)[NH2+]CC(=O)N1CCC(c2ccccc2)=N1	ZINC69419311	0.353	23	6	2	0.472	312.182	2	67.1	0.86	3.703
CC(C)c1ccc(N2C(SCC(=O)N(C)C)=NC3CS(=O)(=O)CC32)cc1	ZINC06719422	0.556	26	6	0	1.973	395.134	1	70.05	0.784	3.423
O=C(Cn1cnc2sccc2c1=O)NCc1cn2ccccc2[nH+]1	ZINC23792296	0.125	24	7	2	0.841	340.087	4	82.54	0.607	3.447
NC(=O)CCc1nnc(SCc2cn(-c3ccccc3)nc2-c2ccccc2)n1CC1CCCO1	ZINC69525594	0.308	35	8	2	4.02	488.199	4	100.85	0.326	2.992
CCc1nnc2n1CCN(C(=O)c1nc(-c3ccco3)sc1C)C2	ZINC69659208	0.375	24	7	0	2.521	343.11	3	77.05	0.729	2.762
CCCCCNC(=O)N1CCCC1CO	ZINC69699688	0.909	15	4	2	1.343	214.168	0	52.57	0.686	2.464
O=C(NCc1nnc2ccccn21)c1ccccc1OC(F)F	ZINC23239554	0.133	23	6	1	2.261	318.093	3	68.52	0.785	2.184
COc1ccccc1CNC(=O)C1CCCN1c1nn2c(nc(C)cc2=O)s1	ZINC06807237	0.368	28	8	1	1.753	399.137	3	88.83	0.709	2.927
CC(C)(C)C(O)CN1CCN(C(=O)CCC2CCCO2)CC1	ZINC69770347	0.941	22	5	1	1.497	312.241	0	53.01	0.844	3.072
O=C(NCc1ccncc1)NCc1ccc(F)c(Cl)c1	ZINC69775698	0.143	20	4	2	2.874	293.073	2	54.02	0.904	1.873
CC[NH+]1CCCC1CNC(=O)c1nnc(Cc2cc(OC)c(OC)c(OC)c2)o1	ZINC06821587	0.55	29	9	2	0.483	405.214	2	100.15	0.639	4.168
CCc1ccc(-c2nc(CC(=O)Nc3ccc(N4CCCC4=O)c(OC)c3)cs2)cc1	ZINC22284331	0.292	31	6	1	4.689	435.162	3	71.53	0.559	2.253
Cn1ccc(C(=O)N2CCN(c3ncccn3)CC2)n1	ZINC02779238	0.385	20	7	0	0.172	272.139	2	67.15	0.799	2.217
Cc1ccc(NC(=O)c2cnc3c(cnn3C3CCCC3)c2)c(OCC2CCCO2)c1	ZINC69949173	0.458	31	7	1	4.665	420.216	3	78.27	0.599	2.964
CCC(CC)c1cc(C[NH3+])on1	ZINC69970250	0.667	12	3	3	1.32	169.134	1	53.67	0.747	3.753
Cn1c2ccccc2nc1CN1CCCC1Cn1cccn1	ZINC70039406	0.412	22	5	0	2.434	295.18	3	38.88	0.742	2.802
Cc1nn(CCNC(=O)c2ccccc2C)c(C)c1Br	ZINC02796227	0.333	20	4	1	3.001	335.063	2	46.92	0.923	1.983
O=C(c1cc(Br)ccc1F)N1CCN(CC2CCCO2)CC1	ZINC70748941	0.562	22	4	0	2.525	370.069	1	32.78	0.818	2.51
CC(=O)c1ccccc1NCC(=O)N1CCCCCCC1	ZINC70948092	0.529	21	4	1	3.094	288.184	1	49.41	0.855	1.858
O=C(Cn1nc(-c2ccccc2Cl)ccc1=O)Nc1ccc(Cl)cc1	ZINC71281140	0.056	25	5	1	3.856	373.038	3	63.99	0.731	1.89
CS/C(Nc1cccc(C)c1)=C(/C#N)S(=O)(=O)c1ccc(C(C)(C)C)cc1	ZINC71328718	0.286	27	4	1	5.234	400.128	2	69.96	0.67	2.585
COc1ccc(-n2nc(C(=O)N3CCOCC3)/c(=N/S(=O)(=O)c3ccc(F)cc3)s2)cc1	ZINC16957259	0.25	32	9	0	1.844	478.078	3	103.09	0.558	2.752
CN(Cc1cc[nH]n1)c1nc(-c2ccncc2)nc2c1CC[NH2+]C2	ZINC71479656	0.294	24	7	3	0.518	322.178	3	87.2	0.746	3.906
Cc1nnsc1C(=O)N1CCCC(CCc2ccc(F)cc2)C1	ZINC71498716	0.471	23	4	0	3.471	333.131	2	46.09	0.842	2.696
Cc1ccc(S(=O)(=O)C2CC[NH2+]C2)cc1C	ZINC71549640	0.5	16	3	2	0.413	240.106	1	50.75	0.831	3.854
C=C(C)C1CC=C(C)/C(=N/NC(=O)CCCNc2ccc(Br)cc2)C1	ZINC07079182	0.4	25	4	2	5.046	403.126	1	53.49	0.364	3.123
Cc1cc(C2Nc3ccccc3C(=O)N2C2CC2)c(C)n1-c1ccnn1C(C)C	ZINC07088387	0.391	29	6	1	4.6	389.222	3	55.09	0.678	3.325
Cc1nnc2n1CCN(c1nc(C)cc(C3CCC3)n1)CC2	ZINC71747397	0.625	22	6	0	2.015	298.191	2	59.73	0.853	2.658
CCOC(=O)C(CC#N)(C(=O)OCC)c1ccccc1	ZINC38438784	0.4	20	5	0	1.964	275.116	1	76.39	0.589	2.488
COP(=O)([O-])/N=N/c1cccc(Cl)c1	ZINC71780493	0.143	14	5	0	2.539	232.988	1	74.08	0.594	3.791
O=Cn1cc(CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)[O-])c2ccccc21	ZINC71788161	0.148	34	7	1	2.879	453.145	4	100.46	0.431	3.298
COC(=O)c1ccc(Oc2ccc([N+](=O)[O-])cc2)nn1	ZINC71790351	0.083	20	8	0	1.964	275.054	2	104.45	0.479	2.11
COC(=O)c1ccc2c(c1)nc(SCc1csc(C)n1)n(Cc1ccccc1Cl)c2=O	ZINC71799730	0.182	31	6	0	4.942	471.048	4	74.08	0.215	2.336
CC1(C)C2CCC1(C)C(NS(=O)(=O)c1ccc(S(N)(=O)=O)cc1)C2	ZINC52781885	0.625	24	6	3	1.827	372.118	1	106.33	0.846	4.02
CC(C)(CNc1ncc(C(F)(F)F)cc1Cl)C(N)=O	ZINC71811102	0.455	19	4	3	2.677	295.07	1	68.01	0.894	2.545
Cc1ccc(C(CNC(=O)Cc2ccccc2Cl)N2CCOCC2)o1	ZINC71813792	0.421	25	5	1	2.974	362.14	2	54.71	0.85	2.676
O=c1c(C(F)(F)F)cc(C2CC2)nn1C[NH+]1CCc2ccccc2C1	ZINC71817257	0.444	25	4	1	1.738	350.148	2	39.33	0.923	4.037
COc1ccc2cc(CNC(=O)c3cccc(N4CCCC4=O)c3)ccc2c1	ZINC11125709	0.217	28	5	1	3.905	374.163	3	58.64	0.712	1.976
COc1cc2c(cc1OC)CCN(C(=O)CN1CCCC1=O)CC2	ZINC56462213	0.556	24	6	0	1.253	332.174	1	59.08	0.842	2.147
COC(=O)CCCN(C)C(=O)C(NC(=O)c1cccs1)C(C)C	ZINC25072872	0.562	23	6	1	1.914	340.146	1	75.71	0.738	2.683
O=C(CSc1ncc(-c2ccccc2)n1-c1ccccc1Cl)NCC(=O)N1CCCC1	ZINC71832698	0.261	31	6	1	4.023	454.123	3	67.23	0.528	2.266
O=C1c2ccccc2C(=O)N1CCCCn1cnc2c(cnn2-c2cccc(C(F)(F)F)c2)c1=O	ZINC71840322	0.208	35	8	0	3.677	481.136	4	90.09	0.301	2.497
CC(=O)Nc1cccc(CNC(=O)NC(C)C2CCCO2)c1	ZINC48567140	0.5	22	6	3	2.012	305.174	1	79.46	0.782	2.814
Cc1ccc(OCCC(=O)N2CCN(C3CCS(=O)(=O)C3)CC2)c(C)c1	ZINC71858523	0.632	26	6	0	1.404	380.177	1	66.92	0.781	2.718
Fc1ccccc1-c1csc(C2CC2)n1	ZINC71872679	0.25	15	1	0	3.827	219.052	2	12.89	0.724	1.979
O=C(Cn1cnc2c3ccccc3oc2c1=O)NCC(c1ccccc1Cl)N1CCOCC1	ZINC32375708	0.292	33	8	1	2.986	466.141	4	89.6	0.465	2.94
O=C(Cc1csc(Cc2cccc(Cl)c2)n1)Nc1nc(-c2ccc3c(c2)OCO3)cs1	ZINC71891381	0.136	31	6	1	5.421	469.032	4	73.34	0.395	2.43
COc1ccc(C2CCCN2C(=O)Nc2ccc(C(F)(F)F)cc2)cc1	ZINC43278627	0.316	26	4	1	5.083	364.14	2	41.57	0.792	2.373
Cc1ccc(S(=O)(=O)N2CCCC2C(=O)NCCCC[NH+]2CCCCC2C)s1	ZINC71906747	0.75	28	6	2	1.563	428.204	1	70.92	0.623	4.33
C[NH+](C)Cc1ccc(CNC(=O)NCC(c2cccs2)[NH+]2CCCC2)cc1	ZINC71913346	0.476	27	5	4	0.612	388.23	2	50.01	0.536	
CC1CC[NH+](C(CNC(=O)c2cccnc2N2CCCCC2)c2cccs2)CC1	ZINC71919013	0.565	29	5	2	2.919	413.238	2	49.67	0.759	3.81
CC[NH+]1CCN(C(=O)NC(C)C2CCCO2)CC1	ZINC71936878	0.923	18	5	2	-0.516	256.203	0	46.01	0.742	4.57
CCOc1cc(NC(=O)N2CCOC(C)C2)ccc1OC	ZINC47581862	0.533	21	6	1	2.346	294.158	1	60.03	0.927	2.415
Cc1noc(C)c1S(=O)(=O)N1CCC(C(=O)Nc2ccc(-c3cn4cccc(C)c4n3)cc2)CC1	ZINC71963183	0.32	35	9	1	3.954	493.178	4	109.81	0.435	2.531
O=C(CCCOc1ccc(Cl)cc1Cl)NCc1cccc(C(=O)NCc2ccco2)c1	ZINC71973691	0.217	31	6	2	4.992	460.096	3	80.57	0.4	2.089
CCOC(=O)C1=NN(c2cc(Cl)cc(Cl)c2)C(C(=O)[O-])C1	ZINC71979376	0.308	21	6	0	1.241	329.01	1	82.03	0.785	3.313
COc1ccc(F)cc1CSC(C)c1nc(C)no1	ZINC71996452	0.385	19	4	0	3.52	282.084	2	48.15	0.82	2.89
O=S(=O)(Cc1coc(-c2cccc(Cl)c2)n1)c1nc2ccccc2[n-]1	ZINC72002643	0.059	25	6	0	3.474	372.021	4	87.16	0.533	3.29
Cc1ccc(-c2ccsc2C(=O)Nc2cccc(C3(C)NC(=O)NC3=O)c2)cc1	ZINC72009907	0.136	29	6	3	4.03	405.115	3	87.3	0.552	2.829
O=C(NC(c1ccsc1)c1ccc(Cl)cc1)C1Cc2ccccc2O1	ZINC72026977	0.15	25	3	1	4.611	369.059	3	38.33	0.697	2.966
O=C(Nc1cccc(CNC(=O)N2CC[NH+](C3CCCC3)CC2)c1)C1CCCO1	ZINC72033440	0.636	29	7	3	1.157	401.255	1	75.11	0.702	3.773
O=C(Nc1ccc2nc[nH]c(=O)c2c1)C1CCCN1C(=O)c1cc(Cl)cc(Cl)c1	ZINC72047505	0.2	29	7	2	3.473	430.06	3	95.16	0.65	2.816
CC(C)N(C(=O)CCN1c2ccccc2OC(C)C1=O)c1cccc(C#N)c1	ZINC72060510	0.318	28	6	0	3.504	377.174	2	73.64	0.781	2.918
Cc1ccc(NC(=O)CNC(=O)c2cc(F)ccc2I)c(Cl)c1	ZINC72069029	0.125	23	4	2	3.761	445.969	2	58.2	0.682	1.998
CCN(Cc1ccc(C[NH+](C)C)cc1)C(=O)c1cc(-c2ccc(C)cc2)nc2onc(C)c21	ZINC72092480	0.296	33	6	1	3.813	443.245	4	63.67	0.457	2.986
Cc1ccc(Cl)c(OC(C)C(=O)NC2CCCCC2C)c1	ZINC72104077	0.588	21	3	1	4.111	309.15	1	38.33	0.874	2.894
CC(C)N(C)C(=O)CC1C(=O)NCC[NH+]1CCCc1ccccc1	ZINC72135181	0.579	24	5	2	0.259	332.234	1	53.85	0.771	4.161
CCNC(=O)CN1CC[NH+](Cc2c(Cl)cncc2Cl)CC1	ZINC72143504	0.571	21	5	2	0.225	331.109	1	49.67	0.831	3.685
CC1CNC(=O)CCN1c1cc(Cl)c2cc[nH]c2n1	ZINC72147362	0.385	19	5	2	1.931	278.093	2	61.02	0.843	3.366
O=C(NC12CC3CC(CC(C3)C1)C2)C1C2C[NH+](Cc3ccoc3)CC21	ZINC72168650	0.762	25	4	2	1.625	341.223	1	46.68	0.882	5.68
COCCCC1CCCCN1C(=O)NCCc1ccccc1	ZINC72172717	0.611	22	4	1	3.22	304.215	1	41.57	0.774	2.417
Cc1ccc(-n2ncc(C#N)c2Br)cc1	ZINC72190422	0.091	15	3	0	2.815	260.99	2	41.61	0.787	2.387
COc1cc(C(N)C(F)(F)F)ccc1C(=O)[O-]	ZINC72195342	0.3	17	4	2	0.621	248.053	1	75.38	0.866	3.24
Nc1cc(C2CCC[NH2+]2)ccc1O	ZINC72201502	0.4	13	3	5	0.373	179.118	1	62.86	0.44	4.441
COc1c(C2CCCN2C(=O)C2CCc3ccccc32)c(C)nn1C	ZINC72234467	0.5	25	5	0	3.131	339.195	2	47.36	0.852	3.331
CCn1cc(NC(=O)C2OCC(=O)N(C)C2c2cccc(F)c2)cn1	ZINC72241666	0.353	25	7	1	1.579	346.144	2	76.46	0.92	3.386
COc1ccccc1OCc1ccc(C(=O)NC2CCCCC2C[NH+](C)C)o1	ZINC72245432	0.5	28	6	2	2.3	387.228	2	65.14	0.731	3.593
O=S1(=O)CCC(N2CCS/C2=N/c2ccc(Cl)cc2)C1	ZINC03426686	0.462	20	4	0	2.563	330.026	1	49.74	0.834	3.157
N#Cc1cc(NCC(O)COCC2CC2)nc2ccccc12	ZINC72290346	0.412	22	5	2	2.306	297.148	2	78.17	0.821	2.884
CC(C)(C)C(NCC[NH+]1CCCCC1)C(N)=O	ZINC72308968	0.923	17	4	4	-0.455	242.223	0	59.56	0.635	4.628
COc1ccc(-c2cc(-c3ccc(Cl)cc3)c3ccccc3n2)cc1OC	ZINC72314543	0.087	27	3	0	6.239	375.103	4	31.35	0.422	1.816
COc1ccc2cc(C3CC(=O)NC4=C3C(=O)OC4(C)C)c(=O)[nH]c2c1	ZINC72324671	0.316	26	7	2	1.73	354.122	2	97.49	0.807	3.357
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)Cc6c7ccccc7[nH]c6C(C)(C)C5CCC43C)C2C1	ZINC04011508	0.676	41	4	1	8.335	555.371	2	59.16	0.335	4.87
Clc1ccc(Cc2nn3c(nnc3C34CC5CC(CC(C5)C3)C4)s2)cc1	ZINC72333557	0.55	26	4	0	4.898	384.118	3	43.08	0.617	3.853
Cc1ccc(SCc2[nH]nc3c2C(c2cc(Br)cs2)C(C#N)=C(N)O3)cc1	ZINC00662500	0.158	27	5	3	5.053	457.987	3	87.72	0.512	3.437
CCOC(=O)Cc1n[nH]c2c1C(c1ccc(F)c(Oc3ccccc3)c1)C(C#N)=C(N)O2	ZINC04010293	0.174	32	8	3	3.665	434.139	3	123.25	0.552	3.326
CCC(C(=O)N1CCC(C(=O)c2cccnc2)CC1)c1ccccc1	ZINC72346693	0.381	25	4	0	3.697	336.184	2	50.27	0.761	2.51
CCc1nc(-c2cncnc2C2CCCN(C(=O)Cc3ccc(OC)cc3)C2)no1	ZINC72356145	0.409	30	8	0	3.046	407.196	3	94.24	0.613	2.993
CC(=O)N1CCN(CC(N)=O)C(c2cccc(C(=O)N(C)C)c2)C1	ZINC72367876	0.471	24	7	2	0.079	332.185	1	86.95	0.869	2.775
CC(C)NC(=O)c1sc2ccccc2c1CC1CCCCN1C(=O)c1nonc1[O-]	ZINC72370511	0.429	30	8	1	2.734	427.144	3	111.39	0.667	3.485
COCCCN1C(=O)C2C3C=C(C)c4ccccc4N3C(C(=O)c3ccc(C)cc3)C2C1=O	ZINC13654591	0.37	33	6	0	3.49	444.205	2	66.92	0.379	3.684
C=CCc1cc(C[NH+]2CCC(c3cc(=O)[nH]c(-c4ccccn4)n3)CC2)cc(OC)c1O	ZINC72392868	0.32	32	7	3	2.237	433.224	3	92.54	0.498	3.771
O=C(c1cnccn1)N1CCC(c2nc([O-])cc(-c3ccc[nH]c3=O)n2)C1	ZINC19293202	0.222	27	9	1	0.325	363.121	3	127.79	0.726	3.569
O=S(=O)(/C=C/c1ccc(Cl)cc1)N(Cc1ccco1)Cc1cccs1	ZINC07217331	0.111	25	4	0	4.997	393.026	3	50.52	0.544	2.468
OCC1CCCCN1C(=S)NCc1ccccc1	ZINC00110318	0.5	18	3	2	1.908	264.13	1	35.5	0.823	2.422
CS(=O)(=O)c1ccc2nc(NC(=O)Cn3nc(-c4cccs4)ccc3=O)sc2c1	ZINC49545744	0.111	29	8	1	2.624	446.018	4	111.02	0.503	2.427
Cc1cc(=O)c(OCC(=O)N2CCN(C3CCS(=O)(=O)C3)CC2)co1	ZINC72404066	0.625	25	8	0	-0.342	370.12	1	97.13	0.741	3.098
CSc1ccc(/C=C2\CN(C(C)C)C/C(=C/c3ccc(SC)cc3)C2=O)cc1	ZINC72408125	0.292	28	2	0	5.891	409.153	2	20.31	0.447	2.676
O=C([O-])C1(Oc2ccc(F)cc2)CCN(C(=O)CC2C=CCC2)CC1	ZINC72411983	0.474	25	5	0	1.672	346.145	1	69.67	0.767	3.424
Cc1ccccc1-c1noc(CCC(=O)N2CC3CCC(C2)N(C)C3=O)n1	ZINC72421623	0.5	27	7	0	2.057	368.185	2	79.54	0.829	3.857
Cc1ncsc1CCN(C)C(=O)C(C)Sc1nc(C)cc(=O)[nH]1	ZINC72426115	0.467	23	6	1	2.025	352.103	2	78.95	0.639	3.359
CSc1ncc(Cn2ccnc2-c2cc3n(n2)CC[NH2+]C3)n1C	ZINC72435482	0.4	23	7	2	0.327	330.15	3	70.07	0.716	3.985
Cc1cc(N2CCN(C(=O)Cc3ccc(Cl)cc3)CC2)nc(N2CCCCC2)n1	ZINC72441611	0.5	29	6	0	3.32	413.198	2	52.57	0.755	
COc1cc(C(=O)N2CCOCC2CC(=O)NC2CCC2)ccn1	ZINC72472882	0.588	24	7	1	0.99	333.169	1	80.76	0.881	2.868
CCc1noc(C)c1C(=O)N1CCN(C(=O)C2CC2)C2CS(=O)(=O)CC21	ZINC72479115	0.706	26	8	0	0.405	381.136	1	100.79	0.768	3.493
CCOc1cccc2cc(C(C)NC(=O)Cc3csc(C)n3)oc21	ZINC72755164	0.333	24	5	1	4.016	344.119	3	64.36	0.707	2.783
NNC(=O)Cn1cnc2nc(N3CCC(C(=O)NC4CC4)CC3)sc2c1=O	ZINC73668070	0.562	27	10	4	-0.662	391.143	2	135.24	0.365	2.673
CC(=O)c1cccc(S(=O)(=O)Nc2ccccc2C(=O)NC2CC2)c1	ZINC07054345	0.222	25	6	2	2.582	358.099	2	92.34	0.775	1.867
Cc1cccc(-c2cc(OCC(=O)[O-])nc(NC(C)CCc3ccccc3)n2)c1	ZINC73708095	0.261	29	6	1	3.014	390.182	3	87.17	0.598	3.011
COc1ccc(S(=O)(=O)NCC(O)c2cccs2)cc1OC	ZINC74558893	0.286	22	6	2	1.777	343.055	2	84.86	0.806	2.563
Cc1cc(C)cc(NC(=S)N2CC(C)OC(C)C2)c1	ZINC07522413	0.533	19	3	1	3.109	278.145	1	24.5	0.788	2.957
CC(Cn1ccnc1)NC(=O)c1ccc(-c2ccco2)[nH]c1=O	ZINC75125399	0.188	23	7	2	1.65	312.122	3	92.92	0.755	2.97
CC(O)(CNC(=O)NCc1cccs1)c1ccco1	ZINC75156350	0.308	19	5	3	2.048	280.088	2	74.5	0.788	3.113
CN(C)S(=O)(=O)N1CC2CC1C(=O)O2	ZINC75162573	0.857	14	6	0	-1.207	220.052	0	66.92	0.578	4.509
CCOC(=O)c1ccc(NC(=O)C[NH+](C)CC(=O)N(CC)CC)cc1	ZINC07591121	0.5	25	7	2	0.185	350.208	1	80.15	0.639	3.332
CCOc1ccccc1N1CC(C(=O)Nc2ccccc2C)CC1=O	ZINC03481363	0.3	25	5	1	3.385	338.163	2	58.64	0.891	2.3
